city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Shivamogga,Karnataka,FY2025-26,189,152,0,1,0,0,342
Sikar,Rajasthan,FY2024-25,37,84,171,58,4,0,354
Sikar,Rajasthan,FY2025-26,33,108,164,52,3,0,360
Silchar,Assam,FY2024-25,117,232,0,0,0,0,349
Silchar,Assam,FY2025-26,153,210,0,0,0,0,363
Siliguri,West Bengal,FY2024-25,125,131,86,17,0,0,359
Siliguri,West Bengal,FY2025-26,127,126,90,4,0,0,347
Singrauli,Madhya Pradesh,FY2024-25,2,76,139,93,9,0,319
Singrauli,Madhya Pradesh,FY2025-26,38,79,110,73,23,1,324
Sirohi,Rajasthan,FY2024-25,51,209,61,4,6,0,331
Sirohi,Rajasthan,FY2025-26,58,234,59,4,0,0,355
Sivasagar,Assam,FY2024-25,96,263,0,0,0,0,359
Sivasagar,Assam,FY2025-26,203,152,0,0,0,0,355
Solapur,Maharashtra,FY2024-25,42,153,167,0,0,0,362
Solapur,Maharashtra,FY2025-26,103,140,120,0,0,0,363
Sri Ganganagar,Rajasthan,FY2024-25,2,42,144,108,20,2,318
Sri Ganganagar,Rajasthan,FY2025-26,5,56,212,76,5,0,354
Suakati,Odisha,FY2024-25,42,135,127,25,1,0,330
Suakati,Odisha,FY2025-26,45,86,80,11,0,0,222
Surat,Gujarat,FY2024-25,55,165,24,23,3,0,270
Surat,Gujarat,FY2025-26,114,82,89,15,1,0,301
Talcher,Odisha,FY2024-25,10,135,97,79,11,0,332
Talcher,Odisha,FY2025-26,25,116,105,57,9,0,312
Tensa,Odisha,FY2024-25,61,126,139,15,1,0,342
Tensa,Odisha,FY2025-26,95,120,40,0,0,0,255
Thane,Maharashtra,FY2024-25,74,163,122,5,0,0,364
Thane,Maharashtra,FY2025-26,93,173,99,0,0,0,365
Thiruvananthapuram,Kerala,FY2024-25,161,184,11,7,0,0,363
Thiruvananthapuram,Kerala,FY2025-26,109,201,54,1,0,0,365
Thrissur,Kerala,FY2024-25,133,169,5,0,0,0,307
Thrissur,Kerala,FY2025-26,96,224,1,0,0,0,321
Tirumala,Andhra Pradesh,FY2024-25,13,41,16,0,0,0,70
Tirumala,Andhra Pradesh,FY2025-26,155,120,62,21,2,0,360
Tirupati,Andhra Pradesh,FY2024-25,137,129,51,3,1,0,321
Tirupati,Andhra Pradesh,FY2025-26,23,188,41,3,1,0,256
Tirupur,Tamil Nadu,FY2024-25,89,117,55,0,0,0,261
Tirupur,Tamil Nadu,FY2025-26,125,77,16,7,0,0,225
Tonk,Rajasthan,FY2024-25,32,77,143,48,4,0,304
Tonk,Rajasthan,FY2025-26,23,101,156,70,4,0,354
Tumakuru,Karnataka,FY2024-25,36,90,177,5,0,0,308
Tumakuru,Karnataka,FY2025-26,29,20,69,4,0,0,122
Tumidih,Chhattisgarh,FY2024-25,13,46,48,4,0,0,111
Tumidih,Chhattisgarh,FY2025-26,65,132,104,4,0,0,305
Udaipur,Rajasthan,FY2024-25,11,165,173,13,1,0,363
Udaipur,Rajasthan,FY2025-26,29,142,174,6,0,0,351
Ujjain,Madhya Pradesh,FY2024-25,7,203,112,10,1,0,333
Ujjain,Madhya Pradesh,FY2025-26,1,48,36,5,1,1,92
Ulhasnagar,Maharashtra,FY2024-25,24,142,166,12,0,0,344
Ulhasnagar,Maharashtra,FY2025-26,23,190,145,0,0,0,358
Vapi,Gujarat,FY2024-25,64,135,96,25,5,0,325
Vapi,Gujarat,FY2025-26,31,195,74,14,1,0,315
Varanasi,Uttar Pradesh,FY2024-25,180,161,23,0,0,0,364
Varanasi,Uttar Pradesh,FY2025-26,107,170,86,2,0,0,365
Vatva,Gujarat,FY2024-25,28,191,120,10,0,0,349
Vatva,Gujarat,FY2025-26,38,151,136,12,0,0,337
Vijayapura,Karnataka,FY2024-25,252,19,35,0,0,0,306
Vijayapura,Karnataka,FY2025-26,201,56,0,0,0,0,257
Vijayawada,Andhra Pradesh,FY2024-25,53,277,9,0,0,0,339
Vijayawada,Andhra Pradesh,FY2025-26,3,326,19,0,0,0,348
Virar,Maharashtra,FY2024-25,36,189,101,17,0,0,343
Virar,Maharashtra,FY2025-26,111,153,77,3,0,0,344
Visakhapatnam,Andhra Pradesh,FY2024-25,23,148,148,23,2,0,344
Visakhapatnam,Andhra Pradesh,FY2025-26,14,120,158,43,11,0,346
Vrindavan,Uttar Pradesh,FY2024-25,26,124,188,5,0,0,343
Vrindavan,Uttar Pradesh,FY2025-26,76,204,70,1,0,0,351
Yadgir,Karnataka,FY2024-25,126,132,48,6,0,0,312
Yadgir,Karnataka,FY2025-26,138,136,53,0,0,0,327
