city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Dhanbad,Jharkhand,FY2025-26,1,106,189,14,0,0,310
Dharwad,Karnataka,FY2024-25,25,280,16,1,0,0,322
Dharwad,Karnataka,FY2025-26,17,245,22,0,0,0,284
Dholpur,Rajasthan,FY2024-25,31,101,155,25,3,0,315
Dholpur,Rajasthan,FY2025-26,21,128,163,16,1,0,329
Dhule,Maharashtra,FY2024-25,58,141,117,13,0,0,329
Dhule,Maharashtra,FY2025-26,54,148,115,8,0,0,325
Dungarpur,Rajasthan,FY2024-25,18,175,122,12,0,0,327
Dungarpur,Rajasthan,FY2025-26,59,156,124,18,0,0,357
Durgapur,West Bengal,FY2024-25,16,77,156,92,22,0,363
Durgapur,West Bengal,FY2025-26,59,143,157,6,0,0,365
Eloor,Kerala,FY2024-25,44,214,1,0,0,0,259
Eloor,Kerala,FY2025-26,12,208,45,0,0,0,265
Faridabad,Haryana,FY2024-25,7,108,151,94,4,0,364
Faridabad,Haryana,FY2025-26,0,4,96,87,0,0,187
Firozabad,Uttar Pradesh,FY2024-25,85,237,30,3,0,0,355
Firozabad,Uttar Pradesh,FY2025-26,102,199,54,1,0,0,356
Gadag,Karnataka,FY2024-25,176,118,5,0,0,0,299
Gadag,Karnataka,FY2025-26,53,18,1,0,0,0,72
Gandhinagar,Gujarat,FY2024-25,47,209,102,1,0,0,359
Gandhinagar,Gujarat,FY2025-26,40,172,152,1,0,0,365
Gaya,Bihar,FY2024-25,43,137,168,12,0,0,360
Gaya,Bihar,FY2025-26,49,161,152,2,0,0,364
Ghaziabad,Uttar Pradesh,FY2024-25,15,65,159,92,30,3,364
Ghaziabad,Uttar Pradesh,FY2025-26,6,70,122,82,69,16,365
Gorakhpur,Uttar Pradesh,FY2024-25,33,108,190,18,0,0,349
Gorakhpur,Uttar Pradesh,FY2025-26,59,189,84,4,0,0,336
Greater Noida,Uttar Pradesh,FY2024-25,3,53,160,122,26,0,364
Greater Noida,Uttar Pradesh,FY2025-26,1,51,150,91,61,10,364
Gummidipoondi,Tamil Nadu,FY2024-25,9,200,114,32,0,0,355
Gummidipoondi,Tamil Nadu,FY2025-26,7,133,141,67,5,0,353
Gurugram,Haryana,FY2024-25,1,62,143,131,24,2,363
Gurugram,Haryana,FY2025-26,9,58,89,128,51,0,335
Guwahati,Assam,FY2024-25,58,159,84,61,2,0,364
Guwahati,Assam,FY2025-26,100,151,100,14,0,0,365
