city,state,period,pollutant,days
Agartala,Tripura,FY2024-25,PM2.5,94
Agartala,Tripura,FY2024-25,PM10,153
Agartala,Tripura,FY2024-25,SO2,21
Agartala,Tripura,FY2024-25,O3,38
Agartala,Tripura,FY2025-26,PM2.5,57
Agartala,Tripura,FY2025-26,PM10,116
Agartala,Tripura,FY2025-26,SO2,78
Agartala,Tripura,FY2025-26,O3,43
Agra,Uttar Pradesh,FY2024-25,PM2.5,101
Agra,Uttar Pradesh,FY2024-25,PM10,207
Agra,Uttar Pradesh,FY2024-25,NO2,18
Agra,Uttar Pradesh,FY2024-25,SO2,10
Agra,Uttar Pradesh,FY2024-25,CO,1
Agra,Uttar Pradesh,FY2024-25,O3,27
Agra,Uttar Pradesh,FY2025-26,PM2.5,86
Agra,Uttar Pradesh,FY2025-26,PM10,255
Agra,Uttar Pradesh,FY2025-26,NO2,8
Agra,Uttar Pradesh,FY2025-26,SO2,4
Agra,Uttar Pradesh,FY2025-26,CO,4
Agra,Uttar Pradesh,FY2025-26,O3,8
Ahmedabad,Gujarat,FY2024-25,PM2.5,210
Ahmedabad,Gujarat,FY2024-25,PM10,103
Ahmedabad,Gujarat,FY2024-25,NO2,19
Ahmedabad,Gujarat,FY2024-25,SO2,1
Ahmedabad,Gujarat,FY2024-25,CO,3
Ahmedabad,Gujarat,FY2024-25,O3,28
Ahmedabad,Gujarat,FY2025-26,PM2.5,105
Ahmedabad,Gujarat,FY2025-26,PM10,206
Ahmedabad,Gujarat,FY2025-26,NO2,24
Ahmedabad,Gujarat,FY2025-26,SO2,2
Ahmedabad,Gujarat,FY2025-26,CO,13
Ahmedabad,Gujarat,FY2025-26,O3,15
Ahmednagar,Maharashtra,FY2024-25,PM2.5,32
Ahmednagar,Maharashtra,FY2024-25,PM10,169
Ahmednagar,Maharashtra,FY2024-25,CO,7
Ahmednagar,Maharashtra,FY2024-25,O3,89
Ahmednagar,Maharashtra,FY2025-26,PM2.5,30
Ahmednagar,Maharashtra,FY2025-26,PM10,247
Ahmednagar,Maharashtra,FY2025-26,NO2,1
Ahmednagar,Maharashtra,FY2025-26,CO,32
Ahmednagar,Maharashtra,FY2025-26,O3,35
Aizawl,Mizoram,FY2024-25,PM2.5,1
Aizawl,Mizoram,FY2024-25,PM10,317
Aizawl,Mizoram,FY2024-25,CO,1
Aizawl,Mizoram,FY2024-25,O3,31
Aizawl,Mizoram,FY2025-26,PM2.5,82
Aizawl,Mizoram,FY2025-26,PM10,137
Aizawl,Mizoram,FY2025-26,SO2,1
Ajmer,Rajasthan,FY2024-25,PM2.5,52
Ajmer,Rajasthan,FY2024-25,PM10,262
Ajmer,Rajasthan,FY2024-25,NO2,3
Ajmer,Rajasthan,FY2024-25,CO,1
Ajmer,Rajasthan,FY2024-25,O3,40
Ajmer,Rajasthan,FY2025-26,PM2.5,29
Ajmer,Rajasthan,FY2025-26,PM10,305
Ajmer,Rajasthan,FY2025-26,NO2,5
Ajmer,Rajasthan,FY2025-26,CO,8
Ajmer,Rajasthan,FY2025-26,O3,12
Akola,Maharashtra,FY2024-25,PM2.5,10
Akola,Maharashtra,FY2024-25,PM10,349
Akola,Maharashtra,FY2024-25,CO,3
Akola,Maharashtra,FY2024-25,O3,2
Akola,Maharashtra,FY2025-26,PM2.5,7
Akola,Maharashtra,FY2025-26,PM10,332
Akola,Maharashtra,FY2025-26,NO2,3
Akola,Maharashtra,FY2025-26,CO,5
Akola,Maharashtra,FY2025-26,O3,10
Alwar,Rajasthan,FY2024-25,PM2.5,30
Alwar,Rajasthan,FY2024-25,PM10,289
Alwar,Rajasthan,FY2024-25,NO2,25
Alwar,Rajasthan,FY2024-25,CO,14
Alwar,Rajasthan,FY2024-25,O3,1
Alwar,Rajasthan,FY2025-26,PM2.5,19
Alwar,Rajasthan,FY2025-26,PM10,226
Alwar,Rajasthan,FY2025-26,NO2,45
Alwar,Rajasthan,FY2025-26,CO,56
Alwar,Rajasthan,FY2025-26,O3,4
Amaravati,Andhra Pradesh,FY2024-25,PM2.5,30
Amaravati,Andhra Pradesh,FY2024-25,PM10,206
Amaravati,Andhra Pradesh,FY2024-25,NO2,5
Amaravati,Andhra Pradesh,FY2024-25,SO2,3
Amaravati,Andhra Pradesh,FY2024-25,CO,91
Amaravati,Andhra Pradesh,FY2024-25,O3,16
Amaravati,Andhra Pradesh,FY2025-26,PM2.5,50
Amaravati,Andhra Pradesh,FY2025-26,PM10,249
Amaravati,Andhra Pradesh,FY2025-26,NO2,17
Amaravati,Andhra Pradesh,FY2025-26,SO2,3
Amaravati,Andhra Pradesh,FY2025-26,CO,14
Amaravati,Andhra Pradesh,FY2025-26,O3,14
Amravati,Maharashtra,FY2024-25,PM2.5,28
Amravati,Maharashtra,FY2024-25,PM10,308
Amravati,Maharashtra,FY2024-25,CO,7
Amravati,Maharashtra,FY2024-25,O3,20
Amravati,Maharashtra,FY2025-26,PM2.5,19
Amravati,Maharashtra,FY2025-26,PM10,302
Amravati,Maharashtra,FY2025-26,CO,12
Amravati,Maharashtra,FY2025-26,O3,31
Amritsar,Punjab,FY2024-25,PM2.5,143
Amritsar,Punjab,FY2024-25,PM10,166
Amritsar,Punjab,FY2024-25,NO2,2
Amritsar,Punjab,FY2024-25,CO,18
Amritsar,Punjab,FY2024-25,O3,16
Amritsar,Punjab,FY2025-26,PM2.5,97
Amritsar,Punjab,FY2025-26,PM10,186
Amritsar,Punjab,FY2025-26,NO2,15
Amritsar,Punjab,FY2025-26,CO,29
Amritsar,Punjab,FY2025-26,O3,13
Anantapur,Andhra Pradesh,FY2024-25,PM2.5,40
Anantapur,Andhra Pradesh,FY2024-25,PM10,229
Anantapur,Andhra Pradesh,FY2024-25,NO2,2
Anantapur,Andhra Pradesh,FY2024-25,SO2,1
Anantapur,Andhra Pradesh,FY2024-25,CO,2
Anantapur,Andhra Pradesh,FY2024-25,O3,4
Anantapur,Andhra Pradesh,FY2025-26,PM2.5,241
Anantapur,Andhra Pradesh,FY2025-26,PM10,70
Anantapur,Andhra Pradesh,FY2025-26,CO,1
Anantapur,Andhra Pradesh,FY2025-26,O3,2
Angul,Odisha,FY2024-25,PM2.5,138
Angul,Odisha,FY2024-25,PM10,111
Angul,Odisha,FY2024-25,NO2,3
Angul,Odisha,FY2024-25,SO2,1
Angul,Odisha,FY2024-25,CO,45
Angul,Odisha,FY2024-25,O3,33
Angul,Odisha,FY2025-26,PM2.5,94
Angul,Odisha,FY2025-26,PM10,100
Angul,Odisha,FY2025-26,CO,92
Angul,Odisha,FY2025-26,O3,66
Ankleshwar,Gujarat,FY2024-25,PM2.5,117
Ankleshwar,Gujarat,FY2024-25,PM10,109
Ankleshwar,Gujarat,FY2024-25,NO2,7
Ankleshwar,Gujarat,FY2024-25,SO2,7
Ankleshwar,Gujarat,FY2024-25,CO,73
Ankleshwar,Gujarat,FY2024-25,O3,1
Ankleshwar,Gujarat,FY2025-26,PM2.5,66
Ankleshwar,Gujarat,FY2025-26,PM10,114
Ankleshwar,Gujarat,FY2025-26,NO2,41
Ankleshwar,Gujarat,FY2025-26,SO2,69
Ankleshwar,Gujarat,FY2025-26,CO,5
Ankleshwar,Gujarat,FY2025-26,O3,21
Araria,Bihar,FY2024-25,PM2.5,92
Araria,Bihar,FY2024-25,PM10,139
Araria,Bihar,FY2024-25,CO,3
Araria,Bihar,FY2024-25,O3,1
Araria,Bihar,FY2025-26,PM2.5,192
Araria,Bihar,FY2025-26,PM10,49
Araria,Bihar,FY2025-26,NO2,19
Araria,Bihar,FY2025-26,CO,37
Ariyalur,Tamil Nadu,FY2024-25,PM2.5,29
Ariyalur,Tamil Nadu,FY2024-25,PM10,193
Ariyalur,Tamil Nadu,FY2024-25,NO2,12
Ariyalur,Tamil Nadu,FY2024-25,SO2,55
Ariyalur,Tamil Nadu,FY2025-26,PM2.5,32
Ariyalur,Tamil Nadu,FY2025-26,PM10,181
Ariyalur,Tamil Nadu,FY2025-26,SO2,2
Arrah,Bihar,FY2024-25,PM2.5,64
Arrah,Bihar,FY2024-25,PM10,132
Arrah,Bihar,FY2024-25,CO,2
Arrah,Bihar,FY2024-25,O3,43
Arrah,Bihar,FY2025-26,PM2.5,96
Arrah,Bihar,FY2025-26,PM10,81
Arrah,Bihar,FY2025-26,CO,87
Arrah,Bihar,FY2025-26,O3,9
Asansol,West Bengal,FY2024-25,PM2.5,243
Asansol,West Bengal,FY2024-25,PM10,89
Asansol,West Bengal,FY2024-25,NO2,2
Asansol,West Bengal,FY2024-25,SO2,4
Asansol,West Bengal,FY2024-25,CO,10
Asansol,West Bengal,FY2024-25,O3,16
Asansol,West Bengal,FY2025-26,PM2.5,170
Asansol,West Bengal,FY2025-26,PM10,139
Asansol,West Bengal,FY2025-26,NO2,6
Asansol,West Bengal,FY2025-26,CO,26
Asansol,West Bengal,FY2025-26,O3,24
Aurangabad (Bihar),Bihar,FY2024-25,PM2.5,87
Aurangabad (Bihar),Bihar,FY2024-25,PM10,154
Aurangabad (Bihar),Bihar,FY2024-25,CO,6
Aurangabad (Bihar),Bihar,FY2024-25,O3,24
Aurangabad (Bihar),Bihar,FY2025-26,PM2.5,38
Aurangabad (Bihar),Bihar,FY2025-26,PM10,156
Aurangabad (Bihar),Bihar,FY2025-26,CO,84
Aurangabad (Bihar),Bihar,FY2025-26,O3,5
Aurangabad (Maharashtra),Maharashtra,FY2024-25,PM2.5,44
Aurangabad (Maharashtra),Maharashtra,FY2024-25,PM10,245
Aurangabad (Maharashtra),Maharashtra,FY2024-25,NO2,11
Aurangabad (Maharashtra),Maharashtra,FY2024-25,CO,11
Aurangabad (Maharashtra),Maharashtra,FY2024-25,O3,52
Aurangabad (Maharashtra),Maharashtra,FY2025-26,PM2.5,88
Aurangabad (Maharashtra),Maharashtra,FY2025-26,PM10,176
Aurangabad (Maharashtra),Maharashtra,FY2025-26,NO2,2
Aurangabad (Maharashtra),Maharashtra,FY2025-26,CO,6
Aurangabad (Maharashtra),Maharashtra,FY2025-26,O3,93
Baddi,Himachal Pradesh,FY2024-25,PM2.5,131
Baddi,Himachal Pradesh,FY2024-25,PM10,105
Baddi,Himachal Pradesh,FY2024-25,CO,1
Baddi,Himachal Pradesh,FY2024-25,O3,123
Baddi,Himachal Pradesh,FY2025-26,PM2.5,81
Baddi,Himachal Pradesh,FY2025-26,PM10,192
Baddi,Himachal Pradesh,FY2025-26,SO2,2
Baddi,Himachal Pradesh,FY2025-26,CO,5
Baddi,Himachal Pradesh,FY2025-26,O3,82
Badlapur,Maharashtra,FY2024-25,PM2.5,66
Badlapur,Maharashtra,FY2024-25,PM10,227
Badlapur,Maharashtra,FY2024-25,NO2,3
Badlapur,Maharashtra,FY2024-25,CO,4
Badlapur,Maharashtra,FY2024-25,O3,34
Badlapur,Maharashtra,FY2025-26,PM2.5,15
Badlapur,Maharashtra,FY2025-26,PM10,321
Badlapur,Maharashtra,FY2025-26,NO2,5
Badlapur,Maharashtra,FY2025-26,O3,4
Bagalkot,Karnataka,FY2024-25,PM2.5,13
Bagalkot,Karnataka,FY2024-25,PM10,279
Bagalkot,Karnataka,FY2024-25,O3,8
Bagalkot,Karnataka,FY2025-26,PM10,298
Baghpat,Uttar Pradesh,FY2024-25,PM2.5,28
Baghpat,Uttar Pradesh,FY2024-25,PM10,278
Baghpat,Uttar Pradesh,FY2024-25,CO,29
Baghpat,Uttar Pradesh,FY2024-25,O3,1
Baghpat,Uttar Pradesh,FY2025-26,PM2.5,137
Baghpat,Uttar Pradesh,FY2025-26,PM10,139
Baghpat,Uttar Pradesh,FY2025-26,NO2,4
Baghpat,Uttar Pradesh,FY2025-26,O3,12
Balasore,Odisha,FY2024-25,PM2.5,94
Balasore,Odisha,FY2024-25,PM10,88
Balasore,Odisha,FY2024-25,CO,121
Balasore,Odisha,FY2024-25,O3,39
Balasore,Odisha,FY2025-26,PM2.5,107
Balasore,Odisha,FY2025-26,PM10,127
Balasore,Odisha,FY2025-26,CO,52
Balasore,Odisha,FY2025-26,O3,66
Banswara,Rajasthan,FY2024-25,PM2.5,62
Banswara,Rajasthan,FY2024-25,PM10,190
Banswara,Rajasthan,FY2024-25,SO2,3
Banswara,Rajasthan,FY2024-25,CO,3
Banswara,Rajasthan,FY2024-25,O3,91
Banswara,Rajasthan,FY2025-26,PM2.5,4
Banswara,Rajasthan,FY2025-26,PM10,266
Banswara,Rajasthan,FY2025-26,CO,8
Banswara,Rajasthan,FY2025-26,O3,65
Baran,Rajasthan,FY2024-25,PM2.5,41
Baran,Rajasthan,FY2024-25,PM10,198
Baran,Rajasthan,FY2024-25,CO,4
Baran,Rajasthan,FY2024-25,O3,102
Baran,Rajasthan,FY2025-26,PM2.5,27
Baran,Rajasthan,FY2025-26,PM10,164
Baran,Rajasthan,FY2025-26,O3,164
Barbil,Odisha,FY2024-25,PM2.5,58
Barbil,Odisha,FY2024-25,PM10,208
Barbil,Odisha,FY2024-25,CO,12
Barbil,Odisha,FY2024-25,O3,68
Barbil,Odisha,FY2025-26,PM2.5,93
Barbil,Odisha,FY2025-26,PM10,170
Barbil,Odisha,FY2025-26,NO2,3
Barbil,Odisha,FY2025-26,CO,14
Barbil,Odisha,FY2025-26,O3,77
Bareilly,Uttar Pradesh,FY2024-25,PM2.5,43
Bareilly,Uttar Pradesh,FY2024-25,PM10,205
Bareilly,Uttar Pradesh,FY2024-25,SO2,99
Bareilly,Uttar Pradesh,FY2024-25,CO,12
Bareilly,Uttar Pradesh,FY2024-25,O3,3
Bareilly,Uttar Pradesh,FY2025-26,PM2.5,9
Bareilly,Uttar Pradesh,FY2025-26,PM10,172
Bareilly,Uttar Pradesh,FY2025-26,SO2,112
Bareilly,Uttar Pradesh,FY2025-26,CO,51
Bareilly,Uttar Pradesh,FY2025-26,O3,7
Baripada,Odisha,FY2024-25,PM2.5,76
Baripada,Odisha,FY2024-25,PM10,133
Baripada,Odisha,FY2024-25,CO,24
Baripada,Odisha,FY2024-25,O3,96
Baripada,Odisha,FY2025-26,PM2.5,98
Baripada,Odisha,FY2025-26,PM10,153
Baripada,Odisha,FY2025-26,NO2,1
Baripada,Odisha,FY2025-26,CO,50
Baripada,Odisha,FY2025-26,O3,26
Barmer,Rajasthan,FY2024-25,PM2.5,20
Barmer,Rajasthan,FY2024-25,PM10,285
Barmer,Rajasthan,FY2024-25,CO,1
Barmer,Rajasthan,FY2024-25,O3,48
Barmer,Rajasthan,FY2025-26,PM2.5,20
Barmer,Rajasthan,FY2025-26,PM10,281
Barmer,Rajasthan,FY2025-26,CO,3
Barmer,Rajasthan,FY2025-26,O3,59
Barrackpore,West Bengal,FY2024-25,PM2.5,134
Barrackpore,West Bengal,FY2024-25,PM10,193
Barrackpore,West Bengal,FY2024-25,CO,11
Barrackpore,West Bengal,FY2024-25,O3,3
Barrackpore,West Bengal,FY2025-26,PM2.5,120
Barrackpore,West Bengal,FY2025-26,PM10,173
Barrackpore,West Bengal,FY2025-26,CO,47
Barrackpore,West Bengal,FY2025-26,O3,2
Bathinda,Punjab,FY2024-25,PM2.5,66
Bathinda,Punjab,FY2024-25,PM10,205
Bathinda,Punjab,FY2024-25,NO2,2
Bathinda,Punjab,FY2024-25,SO2,2
Bathinda,Punjab,FY2024-25,CO,62
Bathinda,Punjab,FY2025-26,PM2.5,76
Bathinda,Punjab,FY2025-26,PM10,94
Bathinda,Punjab,FY2025-26,NO2,49
Bathinda,Punjab,FY2025-26,CO,90
Begusarai,Bihar,FY2024-25,PM2.5,109
Begusarai,Bihar,FY2024-25,PM10,56
Begusarai,Bihar,FY2024-25,NO2,22
Begusarai,Bihar,FY2024-25,SO2,1
Begusarai,Bihar,FY2024-25,CO,22
Begusarai,Bihar,FY2025-26,PM2.5,110
Begusarai,Bihar,FY2025-26,PM10,76
Begusarai,Bihar,FY2025-26,NO2,48
Begusarai,Bihar,FY2025-26,CO,60
Begusarai,Bihar,FY2025-26,O3,7
Belapur,Maharashtra,FY2024-25,PM2.5,44
Belapur,Maharashtra,FY2024-25,PM10,196
Belapur,Maharashtra,FY2024-25,NO2,50
Belapur,Maharashtra,FY2024-25,CO,4
Belapur,Maharashtra,FY2024-25,O3,37
Belapur,Maharashtra,FY2025-26,PM2.5,60
Belapur,Maharashtra,FY2025-26,PM10,239
Belapur,Maharashtra,FY2025-26,NO2,3
Belapur,Maharashtra,FY2025-26,CO,7
Belapur,Maharashtra,FY2025-26,O3,36
Belgaum,Karnataka,FY2024-25,PM2.5,1
Belgaum,Karnataka,FY2024-25,PM10,136
Belgaum,Karnataka,FY2024-25,NO2,13
Belgaum,Karnataka,FY2024-25,CO,127
Belgaum,Karnataka,FY2025-26,PM10,95
Belgaum,Karnataka,FY2025-26,NO2,24
Belgaum,Karnataka,FY2025-26,SO2,2
Belgaum,Karnataka,FY2025-26,CO,10
Belgaum,Karnataka,FY2025-26,O3,5
Bengaluru,Karnataka,FY2024-25,PM2.5,85
Bengaluru,Karnataka,FY2024-25,PM10,219
Bengaluru,Karnataka,FY2024-25,NO2,1
Bengaluru,Karnataka,FY2024-25,CO,46
Bengaluru,Karnataka,FY2024-25,O3,13
Bengaluru,Karnataka,FY2025-26,PM2.5,75
Bengaluru,Karnataka,FY2025-26,PM10,253
Bengaluru,Karnataka,FY2025-26,NO2,3
Bengaluru,Karnataka,FY2025-26,CO,10
Bengaluru,Karnataka,FY2025-26,O3,24
Bettiah,Bihar,FY2024-25,PM2.5,64
Bettiah,Bihar,FY2024-25,PM10,146
Bettiah,Bihar,FY2024-25,NO2,2
Bettiah,Bihar,FY2024-25,CO,30
Bettiah,Bihar,FY2025-26,PM2.5,85
Bettiah,Bihar,FY2025-26,PM10,79
Bettiah,Bihar,FY2025-26,SO2,5
Bettiah,Bihar,FY2025-26,CO,118
Bettiah,Bihar,FY2025-26,O3,1
Bhagalpur,Bihar,FY2024-25,PM2.5,186
Bhagalpur,Bihar,FY2024-25,PM10,121
Bhagalpur,Bihar,FY2024-25,SO2,7
Bhagalpur,Bihar,FY2024-25,CO,33
Bhagalpur,Bihar,FY2024-25,O3,2
Bhagalpur,Bihar,FY2025-26,PM2.5,66
Bhagalpur,Bihar,FY2025-26,PM10,190
Bhagalpur,Bihar,FY2025-26,SO2,56
Bhagalpur,Bihar,FY2025-26,CO,26
Bhagalpur,Bihar,FY2025-26,O3,3
Bharatpur,Rajasthan,FY2024-25,PM2.5,92
Bharatpur,Rajasthan,FY2024-25,PM10,134
Bharatpur,Rajasthan,FY2024-25,CO,33
Bharatpur,Rajasthan,FY2024-25,O3,101
Bharatpur,Rajasthan,FY2025-26,PM2.5,40
Bharatpur,Rajasthan,FY2025-26,PM10,163
Bharatpur,Rajasthan,FY2025-26,CO,8
Bharatpur,Rajasthan,FY2025-26,O3,151
Bhilai,Chhattisgarh,FY2024-25,PM2.5,79
Bhilai,Chhattisgarh,FY2024-25,PM10,224
Bhilai,Chhattisgarh,FY2024-25,NO2,6
Bhilai,Chhattisgarh,FY2024-25,CO,43
Bhilai,Chhattisgarh,FY2024-25,O3,12
Bhilai,Chhattisgarh,FY2025-26,PM2.5,29
Bhilai,Chhattisgarh,FY2025-26,PM10,216
Bhilai,Chhattisgarh,FY2025-26,NO2,21
Bhilai,Chhattisgarh,FY2025-26,SO2,2
Bhilai,Chhattisgarh,FY2025-26,CO,55
Bhilai,Chhattisgarh,FY2025-26,O3,40
Bhilwara,Rajasthan,FY2024-25,PM2.5,91
Bhilwara,Rajasthan,FY2024-25,PM10,179
Bhilwara,Rajasthan,FY2024-25,CO,5
Bhilwara,Rajasthan,FY2024-25,O3,61
Bhilwara,Rajasthan,FY2025-26,PM2.5,114
Bhilwara,Rajasthan,FY2025-26,PM10,209
Bhilwara,Rajasthan,FY2025-26,NO2,2
Bhilwara,Rajasthan,FY2025-26,CO,19
Bhilwara,Rajasthan,FY2025-26,O3,14
Bhiwadi,Rajasthan,FY2024-25,PM2.5,160
Bhiwadi,Rajasthan,FY2024-25,PM10,170
Bhiwadi,Rajasthan,FY2024-25,CO,14
Bhiwadi,Rajasthan,FY2024-25,O3,17
Bhiwadi,Rajasthan,FY2025-26,PM2.5,175
Bhiwadi,Rajasthan,FY2025-26,PM10,171
Bhiwadi,Rajasthan,FY2025-26,CO,6
Bhiwadi,Rajasthan,FY2025-26,O3,11
Bhiwandi,Maharashtra,FY2024-25,PM2.5,82
Bhiwandi,Maharashtra,FY2024-25,PM10,231
Bhiwandi,Maharashtra,FY2024-25,NO2,2
Bhiwandi,Maharashtra,FY2024-25,CO,3
Bhiwandi,Maharashtra,FY2024-25,O3,24
Bhiwandi,Maharashtra,FY2025-26,PM2.5,28
Bhiwandi,Maharashtra,FY2025-26,PM10,317
Bhiwandi,Maharashtra,FY2025-26,NO2,3
Bhiwandi,Maharashtra,FY2025-26,CO,1
Bhiwandi,Maharashtra,FY2025-26,O3,5
Bhopal,Madhya Pradesh,FY2024-25,PM2.5,58
Bhopal,Madhya Pradesh,FY2024-25,PM10,229
Bhopal,Madhya Pradesh,FY2024-25,NO2,2
Bhopal,Madhya Pradesh,FY2024-25,CO,6
Bhopal,Madhya Pradesh,FY2024-25,O3,69
Bhopal,Madhya Pradesh,FY2025-26,PM2.5,49
Bhopal,Madhya Pradesh,FY2025-26,PM10,188
Bhopal,Madhya Pradesh,FY2025-26,NO2,2
Bhopal,Madhya Pradesh,FY2025-26,CO,11
Bhopal,Madhya Pradesh,FY2025-26,O3,115
Bhubaneswar,Odisha,FY2024-25,PM2.5,88
Bhubaneswar,Odisha,FY2024-25,PM10,128
Bhubaneswar,Odisha,FY2024-25,CO,48
Bhubaneswar,Odisha,FY2024-25,O3,87
Bhubaneswar,Odisha,FY2025-26,PM2.5,86
Bhubaneswar,Odisha,FY2025-26,PM10,93
Bhubaneswar,Odisha,FY2025-26,CO,115
Bhubaneswar,Odisha,FY2025-26,O3,67
Bikaner,Rajasthan,FY2024-25,PM2.5,39
Bikaner,Rajasthan,FY2024-25,PM10,294
Bikaner,Rajasthan,FY2024-25,CO,1
Bikaner,Rajasthan,FY2024-25,O3,9
Bikaner,Rajasthan,FY2025-26,PM2.5,34
Bikaner,Rajasthan,FY2025-26,PM10,274
Bikaner,Rajasthan,FY2025-26,CO,2
Bikaner,Rajasthan,FY2025-26,O3,28
Bilaspur,Chhattisgarh,FY2024-25,PM2.5,50
Bilaspur,Chhattisgarh,FY2024-25,PM10,186
Bilaspur,Chhattisgarh,FY2024-25,CO,101
Bilaspur,Chhattisgarh,FY2025-26,PM2.5,38
Bilaspur,Chhattisgarh,FY2025-26,PM10,239
Bilaspur,Chhattisgarh,FY2025-26,NO2,4
Bilaspur,Chhattisgarh,FY2025-26,CO,48
Bileipada,Odisha,FY2024-25,PM2.5,30
Bileipada,Odisha,FY2024-25,PM10,274
Bileipada,Odisha,FY2024-25,SO2,1
Bileipada,Odisha,FY2024-25,O3,12
Bileipada,Odisha,FY2025-26,PM2.5,60
Bileipada,Odisha,FY2025-26,PM10,206
Bileipada,Odisha,FY2025-26,SO2,1
Bileipada,Odisha,FY2025-26,CO,23
Boisar,Maharashtra,FY2024-25,PM2.5,82
Boisar,Maharashtra,FY2024-25,PM10,243
Boisar,Maharashtra,FY2024-25,CO,1
Boisar,Maharashtra,FY2024-25,O3,8
Boisar,Maharashtra,FY2025-26,PM2.5,44
Boisar,Maharashtra,FY2025-26,PM10,250
Boisar,Maharashtra,FY2025-26,CO,3
Boisar,Maharashtra,FY2025-26,O3,48
Brajrajnagar,Odisha,FY2024-25,PM2.5,6
Brajrajnagar,Odisha,FY2024-25,PM10,177
Brajrajnagar,Odisha,FY2024-25,CO,99
Brajrajnagar,Odisha,FY2024-25,O3,37
Brajrajnagar,Odisha,FY2025-26,PM2.5,13
Brajrajnagar,Odisha,FY2025-26,PM10,199
Brajrajnagar,Odisha,FY2025-26,NO2,6
Brajrajnagar,Odisha,FY2025-26,CO,94
Brajrajnagar,Odisha,FY2025-26,O3,23
Bulandshahr,Uttar Pradesh,FY2024-25,PM2.5,118
Bulandshahr,Uttar Pradesh,FY2024-25,PM10,226
Bulandshahr,Uttar Pradesh,FY2024-25,SO2,1
Bulandshahr,Uttar Pradesh,FY2024-25,CO,8
Bulandshahr,Uttar Pradesh,FY2024-25,O3,7
Bulandshahr,Uttar Pradesh,FY2025-26,PM2.5,123
Bulandshahr,Uttar Pradesh,FY2025-26,PM10,228
Bulandshahr,Uttar Pradesh,FY2025-26,CO,8
Bulandshahr,Uttar Pradesh,FY2025-26,O3,4
Bundi,Rajasthan,FY2024-25,PM2.5,61
Bundi,Rajasthan,FY2024-25,PM10,221
Bundi,Rajasthan,FY2024-25,CO,10
Bundi,Rajasthan,FY2024-25,O3,46
Bundi,Rajasthan,FY2025-26,PM2.5,77
Bundi,Rajasthan,FY2025-26,PM10,182
Bundi,Rajasthan,FY2025-26,CO,10
Bundi,Rajasthan,FY2025-26,O3,81
Buxar,Bihar,FY2024-25,PM2.5,90
Buxar,Bihar,FY2024-25,PM10,115
Buxar,Bihar,FY2024-25,CO,35
Buxar,Bihar,FY2024-25,O3,29
Buxar,Bihar,FY2025-26,PM2.5,133
Buxar,Bihar,FY2025-26,PM10,98
Buxar,Bihar,FY2025-26,CO,4
Buxar,Bihar,FY2025-26,O3,57
Byasanagar,Odisha,FY2024-25,PM2.5,75
Byasanagar,Odisha,FY2024-25,PM10,83
Byasanagar,Odisha,FY2024-25,CO,30
Byasanagar,Odisha,FY2024-25,O3,155
Byasanagar,Odisha,FY2025-26,PM2.5,57
Byasanagar,Odisha,FY2025-26,PM10,60
Byasanagar,Odisha,FY2025-26,NO2,1
Byasanagar,Odisha,FY2025-26,SO2,1
Byasanagar,Odisha,FY2025-26,CO,71
Byasanagar,Odisha,FY2025-26,O3,151
Byrnihat (Assam),Assam,FY2024-25,PM2.5,248
Byrnihat (Assam),Assam,FY2024-25,PM10,22
Byrnihat (Assam),Assam,FY2024-25,NO2,3
Byrnihat (Assam),Assam,FY2024-25,SO2,1
Byrnihat (Assam),Assam,FY2024-25,CO,2
Byrnihat (Assam),Assam,FY2024-25,O3,2
Byrnihat (Assam),Assam,FY2025-26,PM2.5,254
Byrnihat (Assam),Assam,FY2025-26,PM10,1
Byrnihat (Assam),Assam,FY2025-26,CO,1
Chamarajanagar,Karnataka,FY2024-25,PM10,339
Chamarajanagar,Karnataka,FY2024-25,NO2,1
Chamarajanagar,Karnataka,FY2024-25,O3,2
Chamarajanagar,Karnataka,FY2025-26,PM2.5,1
Chamarajanagar,Karnataka,FY2025-26,PM10,328
Chamarajanagar,Karnataka,FY2025-26,NO2,1
Chandigarh,Chandigarh,FY2024-25,PM2.5,163
Chandigarh,Chandigarh,FY2024-25,PM10,157
Chandigarh,Chandigarh,FY2024-25,CO,14
Chandigarh,Chandigarh,FY2024-25,O3,30
Chandigarh,Chandigarh,FY2025-26,PM2.5,140
Chandigarh,Chandigarh,FY2025-26,PM10,93
Chandigarh,Chandigarh,FY2025-26,NO2,3
Chandigarh,Chandigarh,FY2025-26,CO,39
Chandigarh,Chandigarh,FY2025-26,O3,88
Chandrapur,Maharashtra,FY2024-25,PM2.5,79
Chandrapur,Maharashtra,FY2024-25,PM10,206
Chandrapur,Maharashtra,FY2024-25,NO2,3
Chandrapur,Maharashtra,FY2024-25,CO,4
Chandrapur,Maharashtra,FY2024-25,O3,63
Chandrapur,Maharashtra,FY2025-26,PM2.5,26
Chandrapur,Maharashtra,FY2025-26,PM10,236
Chandrapur,Maharashtra,FY2025-26,NO2,2
Chandrapur,Maharashtra,FY2025-26,SO2,15
Chandrapur,Maharashtra,FY2025-26,CO,34
Chandrapur,Maharashtra,FY2025-26,O3,49
Charkhi Dadri,Haryana,FY2024-25,PM2.5,333
Charkhi Dadri,Haryana,FY2024-25,PM10,5
